t,ax,ay,az,gx,gy,gz,label
50658,0.957,0.3975,-0.2751,3.275,11.695,2.023,fall
50678,0.9148,0.3831,-0.2637,1.252,8.71,2.687,fall
50698,0.9062,0.3782,-0.2666,-1.137,6.45,1.924,fall
50718,0.9019,0.3767,-0.2495,-2.939,4.45,0.344,fall
50738,0.9102,0.3975,-0.2485,-3.16,2.824,-0.618,fall
50758,0.9219,0.407,-0.2471,-2.763,2.122,-0.725,fall
50778,0.9141,0.4121,-0.2244,-2.595,1.885,-0.16,fall
50798,0.9106,0.4075,-0.2324,-2.214,2.298,-0.725,fall
50818,0.917,0.4175,-0.2339,-1.992,2.412,-1.137,fall
50838,0.9131,0.4158,-0.2188,-0.618,2.275,0.206,fall
50858,0.9116,0.4138,-0.2305,-0.71,2.824,1.42,fall
50878,0.9041,0.4238,-0.2126,0.122,5.992,1.893,fall
50898,0.8984,0.4187,-0.2056,0.634,7.046,1.496,fall
50918,0.9055,0.4089,-0.2258,0.649,6.198,0.573,fall
50938,0.925,0.4062,-0.2163,0.939,3.809,-1.084,fall
50958,0.9153,0.3987,-0.2244,0.137,4.183,-1.664,fall
50978,0.915,0.408,-0.2227,-1.0,6.008,-1.153,fall
50998,0.9236,0.4077,-0.207,-2.565,5.817,-0.198,fall
51018,0.9175,0.4016,-0.2053,-2.153,3.389,0.405,fall
51038,0.9192,0.3994,-0.2021,-1.817,3.695,0.313,fall
51058,0.9175,0.4048,-0.2129,-2.214,4.275,-0.061,fall
51078,0.9216,0.4058,-0.2031,-1.947,3.756,-0.588,fall
51098,0.9182,0.4004,-0.2058,-2.191,4.084,-0.489,fall
51118,0.9248,0.4038,-0.2063,-2.115,4.115,-0.702,fall
51138,0.9216,0.3984,-0.2236,-1.298,3.168,-1.519,fall
51158,0.9097,0.4058,-0.2163,-0.809,3.214,-1.565,fall
51178,0.9185,0.4004,-0.2166,-0.298,3.84,-1.275,fall
51198,0.9263,0.3958,-0.2126,-0.313,4.695,-1.282,fall
51218,0.9214,0.3894,-0.2363,-0.534,5.336,-1.046,fall
51238,0.9211,0.3965,-0.2134,-0.809,5.405,-1.176,fall
51258,0.9192,0.3975,-0.2126,-1.45,4.924,-1.412,fall
51278,0.9167,0.406,-0.217,-2.145,4.252,-1.397,fall
51298,0.9199,0.4014,-0.2122,-1.046,3.763,-1.695,fall
51318,0.9106,0.4065,-0.2134,-0.267,3.893,-1.992,fall
51338,0.9106,0.4111,-0.2158,0.153,5.42,-1.809,fall
51358,0.9084,0.4097,-0.2114,-0.046,5.076,-1.855,fall
51378,0.9143,0.4099,-0.2036,-0.214,4.504,-2.191,fall
51398,0.9146,0.4097,-0.2126,0.947,4.534,-2.626,fall
51418,0.9207,0.4153,-0.2109,2.733,5.008,-3.221,fall
51438,0.9224,0.4236,-0.217,3.725,5.832,-3.794,fall
51458,0.9092,0.4458,-0.2065,4.42,5.344,-4.756,fall
51478,0.8916,0.4609,-0.1726,5.817,5.183,-5.786,fall
51498,0.865,0.5173,-0.135,7.557,3.71,-7.153,fall
51518,0.8291,0.6267,-0.1377,9.985,2.084,-7.977,fall
51538,0.6985,0.7693,-0.0222,7.191,4.496,-9.687,fall
51558,0.522,0.7905,0.1426,-7.565,0.992,-15.084,fall
51578,0.2737,0.489,0.3535,-30.481,10.076,-19.908,fall
51598,0.1282,0.1807,0.1326,-37.817,26.092,-21.221,fall
51618,0.0269,-0.0608,-0.1333,-25.16,24.977,-20.847,fall
51638,-0.0483,-0.1936,-0.106,7.802,-2.13,-3.939,fall
51658,-0.1428,-0.3853,-0.2693,26.489,-27.099,11.237,fall
51678,-0.3804,-0.4512,-0.3228,20.977,-38.885,13.748,fall
51698,-0.1941,-0.2415,-0.2236,10.084,-44.221,22.733,fall
51718,0.0803,0.1353,-0.1567,17.443,-104.985,39.695,fall
51738,0.3279,0.8438,0.1062,44.45,-185.45,24.046,fall
51758,1.8179,0.2383,-1.2532,-104.641,-125.412,-98.191,fall
51778,1.6091,0.7273,0.6084,-52.695,-75.466,-127.29,fall
51798,1.3706,0.6855,-0.8533,26.336,-54.718,-73.122,fall
51818,1.0452,0.8164,-0.6926,65.664,6.985,24.55,fall
51838,0.9937,0.6597,-0.6262,69.977,20.366,105.786,fall
51858,0.9395,0.1785,-0.6868,42.198,31.832,118.756,fall
51878,1.1409,0.074,-0.7891,27.863,28.282,77.16,fall
51898,1.2354,0.1895,-0.5322,25.763,-36.412,28.557,fall
51918,1.1541,0.3127,-0.4341,27.763,-82.847,-1.496,fall
51938,1.3115,0.5396,-0.6147,27.16,-79.038,0.908,fall
51958,1.2439,0.5581,-0.709,24.16,-26.702,5.794,fall
51978,1.2886,0.5535,-0.8025,40.076,1.023,22.168,fall
51998,1.1619,0.5723,-0.5681,33.282,18.214,50.191,fall
52018,1.2205,0.6013,-0.5251,17.71,17.206,56.588,fall
52038,1.2349,0.4617,-0.575,14.74,17.718,33.099,fall
52058,1.2451,0.3582,-0.594,13.985,25.42,6.527,fall
52078,1.2566,0.376,-0.6165,7.481,21.115,4.519,fall
52098,1.1658,0.4175,-0.5828,8.107,4.656,18.42,fall
52118,1.0952,0.4446,-0.5623,10.573,0.321,29.634,fall
52138,1.0581,0.3982,-0.5881,7.878,2.29,29.763,fall
52158,1.0415,0.2988,-0.573,7.061,6.855,20.878,fall
52178,1.0952,0.2939,-0.5527,7.519,-4.084,10.626,fall
52198,1.0645,0.3069,-0.5247,0.534,-13.481,0.725,fall
52218,0.9675,0.2048,-0.489,-0.191,-5.107,-7.321,fall
52238,0.9883,0.1956,-0.564,0.481,9.168,-10.74,fall
52258,0.9976,0.3208,-0.593,-2.076,2.634,-7.802,fall
52278,0.9497,0.4006,-0.5527,-4.924,-4.298,-4.153,fall
52298,0.9861,0.3523,-0.5349,-0.802,-1.099,0.496,fall
52318,1.0654,0.3301,-0.5544,3.84,8.084,2.634,fall
